episode,predator_reward,prey_reward,capture_rate,predator_elo,prey_elo,policy_loss,value_loss,entropy,om_loss,om_loss_weight,grid_size
0,0.91,-0.91,1.0,1016.0,984.0,0.0,0.0,0.0,0.0,0.49975,5
1,0.66,-0.66,1.0,1030.53,969.47,0.0,0.0,0.0,0.0,0.4995,5
2,0.83,-0.83,1.0,1043.75,956.25,0.0,0.0,0.0,0.0,0.49925,5
3,0.74,-0.74,1.0,1055.8,944.2,0.0,0.0,0.0,0.0,0.499001,5
4,0.87,-0.87,1.0,1066.83,933.17,0.0,0.0,0.0,0.0,0.498751,5
